,index,Feature name,Coefficients,p_values,Original feature name,Score - Calculation,Score - Preliminary,Difference,Score - Final
0,0,Intercept,-1.373993727933387,,Intercept,312.6901098670347,313.0,0.309890132965279,313.0
1,1,grade:A,1.1236770855243388,3.2172011229737454e-35,grade,86.69460546432423,87.0,0.3053945356757737,87.0
2,2,grade:B,0.8789087553622896,4.2880237458992265e-47,grade,67.81009310136328,68.0,0.18990689863672117,68.0
3,3,grade:C,0.6847881006910728,6.7243961379148255e-34,grade,52.83318044024543,53.0,0.16681955975457186,53.0
4,4,grade:D,0.4969215659152057,1.3473245443983027e-20,grade,38.338789371708536,38.0,-0.3387893717085362,38.0
5,5,grade:E,0.32148887592254666,1.0259222348478995e-11,grade,24.803701720293358,25.0,0.19629827970664238,25.0
6,6,grade:F,0.13428529728238692,0.00624129451779423,grade,10.360459439398138,10.0,-0.36045943939813796,10.0
7,7,home_ownership:OWN,0.09352075980530773,3.456982793467939e-06,home_ownership,7.215369502940151,7.0,-0.21536950294015078,7.0
8,8,home_ownership:MORTGAGE,0.10624522195738571,4.431413228455652e-17,home_ownership,8.197094804836265,8.0,-0.19709480483626507,8.0
9,9,addr_state:NM_VA,0.03601631278027146,0.2608822309379927,addr_state,2.77875206942422,3.0,0.22124793057577996,3.0
10,10,addr_state:NY,0.05555669444599333,0.02182944709728868,addr_state,4.286343263509648,4.0,-0.28634326350964834,4.0
11,11,addr_state:OK_TN_MO_LA_MD_NC,0.057994421777919816,0.01226066594287914,addr_state,4.474420258220589,4.0,-0.4744202582205892,4.0
12,12,addr_state:CA,0.062148174347166074,0.0033765722323060446,addr_state,4.794893056701829,5.0,0.20510694329817092,5.0
13,13,addr_state:UT_KY_AZ_NJ,0.07645576397986352,0.0021496481495840362,addr_state,5.8987607552883485,6.0,0.10123924471165147,6.0
14,14,addr_state:AR_MI_PA_OH_MN,0.13344051812087232,3.150313628997011e-09,addr_state,10.29528253310053,10.0,-0.2952825331005293,10.0
15,15,addr_state:RI_MA_DE_SD_IN,0.09789421818326097,0.0010332246892835284,addr_state,7.552793175163897,8.0,0.44720682483610297,8.0
16,16,addr_state:GA_WA_OR,0.1837619313788111,5.5736918726981205e-12,addr_state,14.177710256336079,14.0,-0.17771025633607884,14.0
17,17,addr_state:WI_MT,0.23788541518970416,5.643315663418092e-07,addr_state,18.35347759713808,18.0,-0.353477597138081,18.0
18,18,addr_state:TX,0.22095670433685694,1.8381388875459457e-17,addr_state,17.047383589069582,17.0,-0.0473835890695824,17.0
19,19,addr_state:IL_CT,0.25989883421288834,5.678369822850458e-19,addr_state,20.051870046108657,20.0,-0.05187004610865742,20.0
20,20,addr_state:KS_SC_CO_VT_AK_MS,0.31855891441926054,5.1271490374351965e-25,addr_state,24.577647580874363,25.0,0.42235241912563737,25.0
21,21,addr_state:WV_NH_WY_DC_ME_ID,0.5219680203378637,1.0711071126873745e-22,addr_state,40.27118837888352,40.0,-0.2711883788835223,40.0
22,22,verification_status:Not Verified,0.08571433519788092,4.3853048397821394e-09,verification_status,6.613083570312043,7.0,0.3869164296879566,6.0
23,23,verification_status:Source Verified,-0.011188957160575826,0.4047880526290938,verification_status,-0.8632571039220823,-1.0,-0.13674289607791767,-1.0
24,24,purpose:credit_card,0.3018655238450391,1.2498343823548047e-26,purpose,23.28970914345515,23.0,-0.2897091434551484,23.0
25,25,purpose:debt_consolidation,0.19809209938249492,2.4980777556058734e-14,purpose,15.283319934882774,15.0,-0.2833199348827744,15.0
26,26,purpose:oth__med__vacation,0.2128209958880538,7.734949282587035e-12,purpose,16.41969255289202,16.0,-0.4196925528920197,16.0
27,27,purpose:major_purch__car__home_impr,0.2662631000924648,1.4726835794466807e-17,purpose,20.542889687434247,21.0,0.45711031256575296,21.0
28,28,initial_list_status:w,0.053824366048809115,3.7422916468822485e-05,initial_list_status,4.152689628614664,4.0,-0.15268962861466395,4.0
29,29,term:36,0.07894157636436408,1.6313753888459695e-08,term,6.090547636687684,6.0,-0.09054763668768384,6.0
30,30,emp_length:1,0.09915869298848563,0.00013142765767772455,emp_length,7.65035069037066,8.0,0.34964930962934027,8.0
31,31,emp_length:2-4,0.125856021996875,2.5924484337221767e-11,emp_length,9.710118959342308,10.0,0.2898810406576917,10.0
32,32,emp_length:5-6,0.09109434469144806,2.0805341202480754e-05,emp_length,7.02816527523217,7.0,-0.02816527523216994,7.0
33,33,emp_length:7-9,0.061145425228981046,0.0032857423219474296,emp_length,4.717528357981301,5.0,0.2824716420186988,5.0
34,34,emp_length:10,0.1250419020035061,1.179780712066611e-11,emp_length,9.647307487492457,10.0,0.3526925125075433,10.0
35,35,mths_since_issue_d:<38,1.0842220514638914,4.6796828057199155e-181,mths_since_issue_d,83.65054711738745,84.0,0.34945288261255314,84.0
36,36,mths_since_issue_d:38-39,0.8792084340832584,1.0154103248917824e-149,mths_since_issue_d,67.83321409298546,68.0,0.16678590701454254,68.0
37,37,mths_since_issue_d:40-41,0.7782686134519653,5.577109407446429e-124,mths_since_issue_d,60.04544477918284,60.0,-0.04544477918283718,60.0
38,38,mths_since_issue_d:42-48,0.5771840202021434,1.066247873649974e-87,mths_since_issue_d,44.531246170591714,45.0,0.4687538294082856,45.0
39,39,mths_since_issue_d:49-52,0.41570832492216553,8.181062305965279e-41,mths_since_issue_d,32.07297690914925,32.0,-0.07297690914924715,32.0
40,40,mths_since_issue_d:53-64,0.16995347456728488,5.9285722741197535e-09,mths_since_issue_d,13.112351951207147,13.0,-0.11235195120714714,13.0
41,41,mths_since_issue_d:65-84,-0.07177050016982438,0.014095421835625057,mths_since_issue_d,-5.5372804841853025,-6.0,-0.4627195158146975,-6.0
42,42,int_rate:<9.548,0.8831187362547284,3.593625668986598e-31,int_rate,68.13490406101012,68.0,-0.13490406101011843,68.0
43,43,int_rate:9.548-12.025,0.5586718436325115,5.916700319227462e-36,int_rate,43.10298367003423,43.0,-0.10298367003422726,43.0
44,44,int_rate:12.025-15.74,0.3061341171456014,7.239419826596748e-17,int_rate,23.619042202611748,24.0,0.38095779738825186,24.0
45,45,int_rate:15.74-20.281,0.1131786761963232,9.348098259289943e-05,int_rate,8.732028806332918,9.0,0.26797119366708166,9.0
46,46,mths_since_earliest_cr_line:141-164,0.05577282015906165,0.02497560469139464,mths_since_earliest_cr_line,4.303017923575721,4.0,-0.3030179235757213,4.0
47,47,mths_since_earliest_cr_line:165-247,0.03716670781992174,0.06421384287359887,mths_since_earliest_cr_line,2.867508034438901,3.0,0.132491965561099,3.0
48,48,mths_since_earliest_cr_line:248-270,0.0794851860084375,0.002452131318865312,mths_since_earliest_cr_line,6.132488532543504,6.0,-0.1324885325435039,6.0
49,49,mths_since_earliest_cr_line:271-352,0.12204567797978381,1.8905019928868187e-07,mths_since_earliest_cr_line,9.416141022530573,9.0,-0.4161410225305726,9.0
50,50,mths_since_earliest_cr_line:>352,0.12936186305733796,1.0689885511149611e-06,mths_since_earliest_cr_line,9.980603702221654,10.0,0.019396297778346394,10.0
51,51,inq_last_6mths:0,0.6662381934445937,3.536025728661486e-14,inq_last_6mths,51.40200691997836,51.0,-0.402006919978362,51.0
52,52,inq_last_6mths:1-2,0.519732034534914,3.254069241262979e-09,inq_last_6mths,40.098676267078645,40.0,-0.09867626707864474,40.0
53,53,inq_last_6mths:3-6,0.3095139104634126,0.00046130329095759334,inq_last_6mths,23.879802034785307,24.0,0.12019796521469317,24.0
54,54,acc_now_delinq:>=1,0.18037362518007488,0.08866508529221225,acc_now_delinq,13.916293633290243,14.0,0.08370636670975706,14.0
55,55,annual_inc:20K-30K,-0.08152119973010377,0.05299394858924471,annual_inc,-6.2895722789273165,-6.0,0.2895722789273165,-6.0
56,56,annual_inc:30K-40K,-0.018926959261224757,0.6401278192439193,annual_inc,-1.460264062451309,-1.0,0.460264062451309,-1.0
57,57,annual_inc:40K-50K,0.07567933996585978,0.06121429721714068,annual_inc,5.83885762614723,6.0,0.16114237385276997,6.0
